scientific,month,gno,count,longitude,latitude
Agriocnemis pygmaea,6,522,1,114.115947,22.52669227
Agriomorpha fusca,6,2493,1,114.2227881,22.27384316
Alcedo atthis,1,1138,1,113.979977,22.44531008
Alcedo atthis,1,930,7,113.9993718,22.47242379
Alcedo atthis,1,931,2,114.0090884,22.47243418
Alcedo atthis,1,656,1,114.0576403,22.50859894
Alcedo atthis,2,860,1,113.9993603,22.48145416
Alcedo atthis,2,930,4,113.9993718,22.47242379
Alcedo atthis,2,931,2,114.0090884,22.47243418
Alcedo atthis,3,930,1,113.9993718,22.47242379
Alcedo atthis,3,931,1,114.0090884,22.47243418
Alcedo atthis,4,931,1,114.0090884,22.47243418
Alcedo atthis,4,656,1,114.0576403,22.50859894
Alcedo atthis,5,930,1,113.9993718,22.47242379
Alcedo atthis,5,656,1,114.0576403,22.50859894
Alcedo atthis,6,1004,1,114.0382471,22.46343147
Alcedo atthis,7,931,1,114.0090884,22.47243418
Alcedo atthis,8,930,1,113.9993718,22.47242379
Alcedo atthis,8,931,2,114.0090884,22.47243418
Alcedo atthis,9,930,4,113.9993718,22.47242379
Alcedo atthis,9,656,2,114.0576403,22.50859894
Alcedo atthis,9,2341,1,114.1063452,22.29189563
Alcedo atthis,10,860,1,113.9993603,22.48145416
Alcedo atthis,10,930,2,113.9993718,22.47242379
Alcedo atthis,10,931,3,114.0090884,22.47243418
Alcedo atthis,10,932,2,114.0188049,22.472444
Alcedo atthis,11,930,2,113.9993718,22.47242379
Alcedo atthis,11,1004,1,114.0382471,22.46343147
Alcedo atthis,11,1074,1,114.038256,22.45440106
Alcedo atthis,11,656,2,114.0576403,22.50859894
Alcedo atthis,12,860,2,113.9993603,22.48145416
Alcedo atthis,12,930,5,113.9993718,22.47242379
Alcedo atthis,12,931,2,114.0090884,22.47243418
Alcedo atthis,12,656,2,114.0576403,22.50859894
Alcippe hueti,10,1298,1,114.1742712,22.42736916
Alcippe hueti,12,1504,1,114.1354254,22.40027241
Amaurornis phoenicurus,1,860,1,113.9993603,22.48145416
Amaurornis phoenicurus,1,930,1,113.9993718,22.47242379
Amaurornis phoenicurus,1,656,2,114.0576403,22.50859894
Amaurornis phoenicurus,1,1290,1,114.0965636,22.42734924
Amaurornis phoenicurus,2,860,1,113.9993603,22.48145416
Amaurornis phoenicurus,3,930,3,113.9993718,22.47242379
Amaurornis phoenicurus,3,931,1,114.0090884,22.47243418
Amaurornis phoenicurus,4,860,1,113.9993603,22.48145416
Amaurornis phoenicurus,4,930,1,113.9993718,22.47242379
Amaurornis phoenicurus,4,931,4,114.0090884,22.47243418
Amaurornis phoenicurus,4,1004,3,114.0382471,22.46343147
Amaurornis phoenicurus,4,1074,1,114.038256,22.45440106
Amaurornis phoenicurus,4,656,2,114.0576403,22.50859894
Amaurornis phoenicurus,4,951,1,114.2034202,22.47251924
Amaurornis phoenicurus,4,675,1,114.2423035,22.50862974
Amaurornis phoenicurus,5,860,1,113.9993603,22.48145416
Amaurornis phoenicurus,5,930,4,113.9993718,22.47242379
Amaurornis phoenicurus,5,1004,2,114.0382471,22.46343147
